id	effectiveTime	active	moduleId	refsetId	referencedComponentId	acceptabilityId
857ca231-e1f3-5883-bd79-a44a0b869c34	20020131	1	900000000000207008	900000000000508004	647277018	900000000000548007
8581e9d5-3c72-5975-9e6d-6bc579c5805d	20020131	1	900000000000207008	900000000000509007	705345016	900000000000548007
85e695c7-e04e-5ab0-a7cc-dba4af83097f	20020131	1	900000000000207008	900000000000508004	837585014	900000000000548007
85eb7b88-091b-5017-be31-fe36320cff48	20060131	1	900000000000207008	900000000000509007	2578009012	900000000000548007
8613c830-527d-5293-817e-dd5258a0cdd1	20020131	1	900000000000207008	900000000000509007	757909016	900000000000548007
8659d26c-4512-5f9e-82dd-965e4872f41e	20040731	1	900000000000207008	900000000000509007	2470591017	900000000000548007
869862a8-d29f-5cd7-b9a5-8a274e96fb4a	20070131	1	900000000000207008	900000000000509007	2638633013	900000000000548007
86beccfb-3215-5c95-891a-3867a711513f	20100731	1	900000000000207008	900000000000508004	2868994014	900000000000548007
86cee3dc-4420-56c1-8872-27e6b16038d6	20030131	1	900000000000207008	900000000000508004	1490773016	900000000000549004
86e139ec-91e3-5a6f-a21e-569a4a54ae2c	20020131	1	900000000000207008	900000000000509007	742125010	900000000000548007
872bfeec-e5d1-544d-931e-9e8ea7688692	20070131	1	900000000000207008	900000000000509007	2639118014	900000000000548007
87599d04-7b8b-535d-a55b-310e45802545	20100131	1	900000000000207008	900000000000508004	2835261014	900000000000548007
87a1e374-2973-4ce9-bbf4-57b2c59b4ece	20170731	1	900000000000012004	900000000000508004	3475749019	900000000000548007
87c7ba73-91e9-5c62-a949-383e183c4c58	20020131	1	900000000000207008	900000000000508004	636064014	900000000000548007
87d40ccf-e360-500e-bee3-03a785e0c1d3	20040731	1	900000000000207008	900000000000509007	2468804011	900000000000548007
87dc1e48-d004-58f8-9532-136d1d3b6d6c	20020131	1	900000000000207008	900000000000509007	663993012	900000000000548007
87fb9226-6f9c-53b8-b76c-f8006083cc11	20020131	1	900000000000207008	900000000000509007	670979015	900000000000548007
8855fc78-a19b-5201-8c85-0ec010f78ab2	20020131	1	900000000000207008	900000000000509007	673850010	900000000000548007
885c988f-0eae-5f15-a0a9-14f65637627a	20020731	0	900000000000207008	900000000000509007	608903010	900000000000548007
886a1226-b64c-53c9-9e45-05e790a186f1	20070131	1	900000000000207008	900000000000509007	2638124010	900000000000548007
8872b20a-226f-52d9-910f-dc020b15aad1	20020131	1	900000000000207008	900000000000509007	652453014	900000000000548007
8893f98e-d7d3-54cb-998e-cc8909b1fbca	20020731	1	900000000000207008	900000000000508004	1199173018	900000000000548007
